epoch,train_loss,dev_loss,record_f1,record_em,sql_em,error_rate,best_f1
-1,nan,5.277186,0.118026,0.118026,0.000000,1.000000,0.118026
0,1.995352,nan,nan,nan,nan,nan,0.118026
1,0.238858,nan,nan,nan,nan,nan,0.118026
2,0.131669,nan,nan,nan,nan,nan,0.118026
3,0.093568,0.055888,0.283437,0.229614,0.008584,0.585837,0.283437
4,0.072995,nan,nan,nan,nan,nan,0.283437
5,0.059431,nan,nan,nan,nan,nan,0.283437
6,0.049427,nan,nan,nan,nan,nan,0.283437
7,0.042536,0.031248,0.151296,0.150215,0.000000,0.937768,0.283437
8,0.036908,nan,nan,nan,nan,nan,0.283437
9,0.032694,nan,nan,nan,nan,nan,0.283437
10,0.029567,nan,nan,nan,nan,nan,0.283437
